OBJECTID,unitid,unitloc,unitshift,unittype,unitsquad,unitradio,unitduties,level_id,staffrank,staffname,staffphone,staffemail,staffstatus,staffpay,staffduty,staffskills,staffagency,apparatus,eventid,uniqueid,poststatus,GlobalID,CreationDate,Creator,EditDate,Editor,start_time,end_time,start_time_txt,end_time_txt,elevation,Z,X,Y
1,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{71868649-52B3-4FFC-A7A6-A28021AA3B75},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 16:58:00,2026-06-11 16:59:00,11/06/2026 4:58:00 PM,11/06/2026 4:59:00 PM,4.595128059,4.595128056,-13704455.44,6321916.625
2,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,{D76DE394-274C-4ED6-9DE8-FF0C9FC7A80A},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 16:58:00,2026-06-11 16:59:00,11/06/2026 4:58:00 PM,11/06/2026 4:59:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
3,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{39832867-45AC-4BC5-BCC3-0EE7FAEE3CD1},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 16:58:00,2026-06-11 16:59:00,11/06/2026 4:58:00 PM,11/06/2026 4:59:00 PM,4.684360504,4.684360581,-13704353.12,6321875.914
4,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{F550B519-7243-433D-AC0E-EA7FB9C95785},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 16:58:00,2026-06-11 16:59:00,11/06/2026 4:58:00 PM,11/06/2026 4:59:00 PM,4.928792953,4.928793111,-13704356.27,6321861.055
5,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{27381566-2532-4DFB-88E1-7A1883A15E42},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 16:58:00,2026-06-11 16:59:00,11/06/2026 4:58:00 PM,11/06/2026 4:59:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
6,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{EE015513-FA91-4A8B-8723-2E2656837B78},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 16:58:00,2026-06-11 16:59:00,11/06/2026 4:58:00 PM,11/06/2026 4:59:00 PM,4.004535198,4.004535064,-13704271.4,6321896.458
7,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{F0E7239C-7624-4CB2-8A98-9A755B258D8D},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 16:58:00,2026-06-11 16:59:00,11/06/2026 4:58:00 PM,11/06/2026 4:59:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
8,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{9B71FCA6-7228-41EF-B1D2-637E609CA1A5},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 16:58:00,2026-06-11 16:59:00,11/06/2026 4:58:00 PM,11/06/2026 4:59:00 PM,4.323612213,4.323612213,-13704522.23,6321854.385
9,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{37CEAF8B-C82C-4852-9F1A-1287A04F72FF},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 16:58:00,2026-06-11 16:59:00,11/06/2026 4:58:00 PM,11/06/2026 4:59:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
10,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{6948F59E-1370-4E5D-84CB-4F7848B45D64},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 16:59:00,2026-06-11 17:00:00,11/06/2026 4:59:00 PM,11/06/2026 5:00:00 PM,4.595128059,4.508930683,-13704420.9,6321922.018
11,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,{82C02C71-514F-4089-8F56-888A54521B00},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 16:59:00,2026-06-11 17:00:00,11/06/2026 4:59:00 PM,11/06/2026 5:00:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
12,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{7AA3200D-AA23-4C2D-9CD0-5CA6F4FC9DDC},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 16:59:00,2026-06-11 17:00:00,11/06/2026 4:59:00 PM,11/06/2026 5:00:00 PM,4.684360504,4.769339085,-13704334.26,6321850.82
13,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{AAA65F4E-2888-4632-8C86-F8A4BF9FACE9},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 16:59:00,2026-06-11 17:00:00,11/06/2026 4:59:00 PM,11/06/2026 5:00:00 PM,4.928792953,4.928793111,-13704356.27,6321861.055
14,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{20CC490D-F612-48BF-85FE-2B2B277596F6},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 16:59:00,2026-06-11 17:00:00,11/06/2026 4:59:00 PM,11/06/2026 5:00:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
15,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{93844798-B506-4E4B-821C-76BC3DA3548C},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 16:59:00,2026-06-11 17:00:00,11/06/2026 4:59:00 PM,11/06/2026 5:00:00 PM,4.004535198,4.192516361,-13704241.88,6321867.09
16,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{04A16B6E-4772-4127-9F07-D4540BC1C392},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 16:59:00,2026-06-11 17:00:00,11/06/2026 4:59:00 PM,11/06/2026 5:00:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
17,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{7A97F495-A045-452B-94AD-38B572482073},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 16:59:00,2026-06-11 17:00:00,11/06/2026 4:59:00 PM,11/06/2026 5:00:00 PM,4.323612213,4.323612213,-13704522.23,6321854.385
