OBJECTID,unitid,unitloc,unitshift,unittype,unitsquad,unitradio,unitduties,level_id,staffrank,staffname,staffphone,staffemail,staffstatus,staffpay,staffduty,staffskills,staffagency,apparatus,eventid,uniqueid,poststatus,CreationDate,Creator,EditDate,Editor,start_time,end_time,start_time_txt,end_time_txt,elevation,Z,X,Y,POINT_X,POINT_Y,POINT_Z,feature_order
1,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:19,gvanmaren_3dgis,29/04/2026 08:19,gvanmaren_3dgis,11/06/2026 16:58,11/06/2026 16:59,11/06/2026 16:58,11/06/2026 16:59,4.595128059,4.595128056,-13704455.44,6321916.625,-13704455.44,6321916.625,0,1
2,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,29/04/2026 08:20,gvanmaren_3dgis,29/04/2026 08:21,gvanmaren_3dgis,11/06/2026 16:58,11/06/2026 16:59,11/06/2026 16:58,11/06/2026 16:59,4.461204052,4.461204052,-13704463.9,6321910.742,-13704463.9,6321910.742,0,2
3,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:22,gvanmaren_3dgis,29/04/2026 08:22,gvanmaren_3dgis,11/06/2026 16:58,11/06/2026 16:59,11/06/2026 16:58,11/06/2026 16:59,4.684360504,4.684360581,-13704353.12,6321875.914,-13704353.12,6321875.914,0,3
4,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:23,gvanmaren_3dgis,29/04/2026 08:23,gvanmaren_3dgis,11/06/2026 16:58,11/06/2026 16:59,11/06/2026 16:58,11/06/2026 16:59,4.928792953,4.928793111,-13704356.27,6321861.055,-13704356.27,6321861.055,0,4
5,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:29,gvanmaren_3dgis,11/06/2026 16:58,11/06/2026 16:59,11/06/2026 16:58,11/06/2026 16:59,4.191029072,4.191029178,-13704278.77,6321903.316,-13704278.77,6321903.316,0,5
6,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:24,gvanmaren_3dgis,11/06/2026 16:58,11/06/2026 16:59,11/06/2026 16:58,11/06/2026 16:59,4.004535198,4.004535064,-13704271.4,6321896.458,-13704271.4,6321896.458,0,6
7,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:25,gvanmaren_3dgis,29/04/2026 08:28,gvanmaren_3dgis,11/06/2026 16:58,11/06/2026 16:59,11/06/2026 16:58,11/06/2026 16:59,4.323612213,4.323612213,-13704522.48,6321856.06,-13704522.48,6321856.06,0,7
8,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:26,gvanmaren_3dgis,29/04/2026 08:26,gvanmaren_3dgis,11/06/2026 16:58,11/06/2026 16:59,11/06/2026 16:58,11/06/2026 16:59,4.323612213,4.323612213,-13704522.23,6321854.385,-13704522.23,6321854.385,0,8
9,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:27,gvanmaren_3dgis,29/04/2026 08:30,gvanmaren_3dgis,11/06/2026 16:58,11/06/2026 16:59,11/06/2026 16:58,11/06/2026 16:59,4.829718113,4.829718113,-13704149.54,6321987.082,-13704149.54,6321987.082,0,9
10,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:19,gvanmaren_3dgis,29/04/2026 08:19,gvanmaren_3dgis,11/06/2026 16:59,11/06/2026 17:00,11/06/2026 16:59,11/06/2026 17:00,4.595128059,4.508930683,-13704420.9,6321922.018,-13704420.9,6321922.018,0,10
11,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,29/04/2026 08:20,gvanmaren_3dgis,29/04/2026 08:21,gvanmaren_3dgis,11/06/2026 16:59,11/06/2026 17:00,11/06/2026 16:59,11/06/2026 17:00,4.461204052,4.461204052,-13704463.9,6321910.742,-13704463.9,6321910.742,0,11
12,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:22,gvanmaren_3dgis,29/04/2026 08:22,gvanmaren_3dgis,11/06/2026 16:59,11/06/2026 17:00,11/06/2026 16:59,11/06/2026 17:00,4.684360504,4.769339085,-13704334.26,6321850.82,-13704334.26,6321850.82,0,12
13,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:23,gvanmaren_3dgis,29/04/2026 08:23,gvanmaren_3dgis,11/06/2026 16:59,11/06/2026 17:00,11/06/2026 16:59,11/06/2026 17:00,4.928792953,4.928793111,-13704356.27,6321861.055,-13704356.27,6321861.055,0,13
14,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:29,gvanmaren_3dgis,11/06/2026 16:59,11/06/2026 17:00,11/06/2026 16:59,11/06/2026 17:00,4.191029072,4.191029178,-13704278.77,6321903.316,-13704278.77,6321903.316,0,14
15,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:24,gvanmaren_3dgis,29/04/2026 08:24,gvanmaren_3dgis,11/06/2026 16:59,11/06/2026 17:00,11/06/2026 16:59,11/06/2026 17:00,4.004535198,4.192516361,-13704241.88,6321867.09,-13704241.88,6321867.09,0,15
16,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:25,gvanmaren_3dgis,29/04/2026 08:28,gvanmaren_3dgis,11/06/2026 16:59,11/06/2026 17:00,11/06/2026 16:59,11/06/2026 17:00,4.323612213,4.323612213,-13704522.48,6321856.06,-13704522.48,6321856.06,0,16
17,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:26,gvanmaren_3dgis,29/04/2026 08:26,gvanmaren_3dgis,11/06/2026 16:59,11/06/2026 17:00,11/06/2026 16:59,11/06/2026 17:00,4.323612213,4.323612213,-13704522.23,6321854.385,-13704522.23,6321854.385,0,17
18,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:27,gvanmaren_3dgis,29/04/2026 08:30,gvanmaren_3dgis,11/06/2026 16:59,11/06/2026 17:00,11/06/2026 16:59,11/06/2026 17:00,4.829718113,4.829718113,-13704149.54,6321987.082,-13704149.54,6321987.082,0,18
19,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,29/04/2026 08:19,gvanmaren_3dgis,29/04/2026 08:19,gvanmaren_3dgis,11/06/2026 17:00,11/06/2026 17:01,11/06/2026 17:00,11/06/2026 17:01,4.595128059,4.508930683,-13704383.7,6321922.018,-13704383.7,6321922.018,0,19
20,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,29/04/2026 08:20,gvanmaren_3dgis,29/04/2026 08:21,gvanmaren_3dgis,11/06/2026 17:00,11/06/2026 17:01,11/06/2026 17:00,11/06/2026 17:01,4.461204052,4.461204052,-13704463.9,6321910.742,-13704463.9,6321910.742,0,20
